"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","4","1","5.870529","0","5"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","17","18","1","15.792327","0","18"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","5","1","2.965693","0","5"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","6","6","1","3.039600","0","6"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","5","1","2.893502","0","5"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","1","1","2.789558","0","19"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","54","30","6","22.315092","0","205"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","7","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Interchange/gltf/M_Opaque.M_Opaque","0","224","131","8","163.544891","0","1047"
"/Landmass/Landscape/BlueprintBrushes/Materials/M_SimpleBrush.M_SimpleBrush","0","4","1","1","2.218266","0","13"
"/Landmass/Landscape/Mats/Seed/GenNoise_01.GenNoise_01","0","4","1","1","32.062450","0","13"
"/Game/Mats/Landscape_M.Landscape_M","0","44","62","3","28.474197","0","444"
"/Landmass/Landscape/BlueprintBrushes/Materials/LandmassBrush_Width.LandmassBrush_Width","0","0","4","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","3","1","6.086937","0","58"
"/Landmass/Landscape/Mats/Debug/Intersections.Intersections","0","7","7","1","3.648185","0","9"
"/Landmass/DistanceFields/Materials/DetectEdges.DetectEdges","0","5","5","1","3.277618","0","9"
"/Landmass/DistanceFields/Materials/JumpFloodStep.JumpFloodStep","0","5","5","1","2.710641","0","8"
"/Landmass/DistanceFields/Materials/BlurEdges.BlurEdges","0","5","5","1","2.644348","0","5"
"/Landmass/Landscape/BlueprintBrushes/Materials/WaterPlugin/MeshBrush_Weightmap.MeshBrush_Weightmap","0","4","4","1","2.072055","0","4"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","5","1","19.923386","0","137"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","2","1","2.685533","0","14"
"/Landmass/Landscape/BlueprintBrushes/Materials/CopyRT.CopyRT","0","5","5","1","2.721111","0","8"
"/Landmass/PreviewContent/Water/Mats/M_Simple_River_01.M_Simple_River_01","0","28","3","1","92.927727","0","173"
"/Landmass/Landscape/BlueprintBrushes/Materials/Debug/DebugDrawing_CustomBrush.DebugDrawing_CustomBrush","0","5","5","1","3.092725","0","9"
"/Landmass/Landscape/BlueprintBrushes/Materials/CacheDistanceField_RG8.CacheDistanceField_RG8","0","5","2","1","6.648636","0","14"
"/Landmass/Landscape/BlueprintBrushes/Materials/LandmassBrush_Weightmap.LandmassBrush_Weightmap","0","4","1","1","4.740195","0","11"
"/Landmass/Landscape/BlueprintBrushes/Materials/LandmassBrush_Angle.LandmassBrush_Angle","0","4","4","1","5.455952","0","7"
"/Interchange/gltf/M_Translucent.M_Translucent","0","200","18","8","718.210388","0","1252"
"/Interchange/gltf/M_Sheen.M_Sheen","0","112","23","4","55.963924","0","864"
"/Interchange/gltf/M_Transmission.M_Transmission","0","108","15","4","338.781616","0","885"
"/Interchange/gltf/M_Unlit.M_Unlit","0","32","4","2","12.259076","0","184"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","145","6","1","79.559570","0","3101"
